county_name,com_name,year,month,data_class,data_field_display_name,unit,value,number_of_accounts
Franklin,Malone,2020,10,electricity,Total Consumption (T),MWh,3376.725,2835.0
Franklin,Malone,2020,10,electricity,Business Consumption (SC+O),MWh,1993.052,443.0
Franklin,Malone,2020,10,electricity,Small Commercial Consumption (SC),MWh,961.588,401.0
Franklin,Malone,2020,10,electricity,Small Consumer Consumption (R+SC),MWh,2345.261,2793.0
Franklin,Malone,2020,10,electricity,Residential Consumption (R),MWh,1383.673,2392.0
Franklin,Malone,2020,10,electricity,All Other Consumption (O),MWh,1031.464,42.0
Franklin,Malone,2020,10,electricity,ICAP Capacity Tag (T),MW,8.442,2835.0
Franklin,Malone,2020,10,electricity,ICAP Capacity Tag (SC+O),MW,4.297,443.0
Franklin,Malone,2020,10,electricity,ICAP Capacity Tag (R+SC),MW,2.211,401.0
Franklin,Malone,2020,10,electricity,ICAP Capacity Tag (O),MW,6.356,2793.0
Franklin,Malone,2020,10,electricity,ICAP Capacity Tag (SC),MW,4.145,2392.0
Franklin,Malone,2020,10,electricity,ICAP Capacity Tag (R),MW,2.086,42.0
Franklin,Malone,2020,10,electricity,CCA-Ineligible Customer Count (SC),count,177.0,177.0
Franklin,Malone,2020,10,electricity,CCA-Ineligible Customer Count (R),count,471.0,471.0
Franklin,Malone,2020,9,electricity,Total Consumption (T),MWh,3330.068,2847.0
Franklin,Malone,2020,9,electricity,Business Consumption (SC+O),MWh,1983.134,445.0
Franklin,Malone,2020,9,electricity,Small Commercial Consumption (SC),MWh,950.303,403.0
Franklin,Malone,2020,9,electricity,Small Consumer Consumption (R+SC),MWh,2297.237,2805.0
Franklin,Malone,2020,9,electricity,Residential Consumption (R),MWh,1346.934,2402.0
Franklin,Malone,2020,9,electricity,All Other Consumption (O),MWh,1032.831,42.0
Franklin,Malone,2020,9,electricity,ICAP Capacity Tag (T),MW,8.458,2847.0
Franklin,Malone,2020,9,electricity,ICAP Capacity Tag (SC+O),MW,4.297,445.0
Franklin,Malone,2020,9,electricity,ICAP Capacity Tag (R+SC),MW,2.211,403.0
Franklin,Malone,2020,9,electricity,ICAP Capacity Tag (O),MW,6.372,2805.0
Franklin,Malone,2020,9,electricity,ICAP Capacity Tag (SC),MW,4.161,2402.0
Franklin,Malone,2020,9,electricity,ICAP Capacity Tag (R),MW,2.086,42.0
Franklin,Malone,2020,9,electricity,CCA-Ineligible Customer Count (SC),count,178.0,178.0
Franklin,Malone,2020,9,electricity,CCA-Ineligible Customer Count (R),count,484.0,484.0
Franklin,Malone,2020,8,electricity,Total Consumption (T),MWh,3698.353,2855.0
Franklin,Malone,2020,8,electricity,Business Consumption (SC+O),MWh,2155.056,447.0
Franklin,Malone,2020,8,electricity,Small Commercial Consumption (SC),MWh,1009.8,405.0
Franklin,Malone,2020,8,electricity,Small Consumer Consumption (R+SC),MWh,2553.097,2813.0
Franklin,Malone,2020,8,electricity,Residential Consumption (R),MWh,1543.297,2408.0
Franklin,Malone,2020,8,electricity,All Other Consumption (O),MWh,1145.256,42.0
Franklin,Malone,2020,8,electricity,ICAP Capacity Tag (T),MW,8.462,2855.0
Franklin,Malone,2020,8,electricity,ICAP Capacity Tag (SC+O),MW,4.299,447.0
Franklin,Malone,2020,8,electricity,ICAP Capacity Tag (R+SC),MW,2.213,405.0
Franklin,Malone,2020,8,electricity,ICAP Capacity Tag (O),MW,6.376,2813.0
Franklin,Malone,2020,8,electricity,ICAP Capacity Tag (SC),MW,4.163,2408.0
Franklin,Malone,2020,8,electricity,ICAP Capacity Tag (R),MW,2.086,42.0
Franklin,Malone,2020,8,electricity,CCA-Ineligible Customer Count (SC),count,180.0,180.0
Franklin,Malone,2020,8,electricity,CCA-Ineligible Customer Count (R),count,489.0,489.0
Franklin,Malone,2020,7,electricity,Total Consumption (T),MWh,4084.265,2852.0
Franklin,Malone,2020,7,electricity,Business Consumption (SC+O),MWh,2268.669,448.0
Franklin,Malone,2020,7,electricity,Small Commercial Consumption (SC),MWh,1030.198,405.0
Franklin,Malone,2020,7,electricity,Small Consumer Consumption (R+SC),MWh,2845.794,2809.0
Franklin,Malone,2020,7,electricity,Residential Consumption (R),MWh,1815.596,2404.0
Franklin,Malone,2020,7,electricity,All Other Consumption (O),MWh,1238.471,43.0
Franklin,Malone,2020,7,electricity,ICAP Capacity Tag (T),MW,8.466,2852.0
